Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΦΘΙΩΤΙΔΑΣ,13.653  (+365 την 17/03/2021),9.367  (+206 την 17/03/2021),4.286  (+159 την 17/03/2021)
ΚΑΒΑΛΑΣ,13.581  (+353 την 17/03/2021),8.741  (+231 την 17/03/2021),4.840  (+122 την 17/03/2021)
ΒΟΙΩΤΙΑΣ,13.518  (+281 την 17/03/2021),10.299  (+156 την 17/03/2021),3.219  (+125 την 17/03/2021)
ΗΛΕΙΑΣ,13.450  (+333 την 17/03/2021),9.410  (+260 την 17/03/2021),4.040  (+73 την 17/03/2021)
ΛΑΣΙΘΙΟΥ,12.588  (+193 την 17/03/2021),8.221  (+111 την 17/03/2021),4.367  (+82 την 17/03/2021)
ΚΟΡΙΝΘΙΑΣ,12.197  (+276 την 17/03/2021),8.805  (+246 την 17/03/2021),3.392  (+30 την 17/03/2021)
ΠΙΕΡΙΑΣ,11.934  (+333 την 17/03/2021),7.646  (+312 την 17/03/2021),4.288  (+21 την 17/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,11.457  (+290 την 17/03/2021),8.493  (+120 την 17/03/2021),2.964  (+170 την 17/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,11.371  (+109 την 17/03/2021),8.329  (+109 την 17/03/2021),3.042
ΚΕΡΚΥΡΑΣ,11.118  (+254 την 17/03/2021),7.696  (+237 την 17/03/2021),3.422  (+17 την 17/03/2021)
ΚΙΛΚΙΣ,10.716  (+198 την 17/03/2021),7.274  (+64 την 17/03/2021),3.442  (+134 την 17/03/2021)
ΔΡΑΜΑΣ,10.691  (+219 την 17/03/2021),7.038  (+103 την 17/03/2021),3.653  (+116 την 17/03/2021)
ΛΑΚΩΝΙΑΣ,10.641  (+194 την 17/03/2021),7.345  (+168 την 17/03/2021),3.296  (+26 την 17/03/2021)
ΑΡΓΟΛΙΔΑΣ,10.429  (+220 την 17/03/2021),7.277  (+189 την 17/03/2021),3.152  (+31 την 17/03/2021)
ΡΟΔΟΥ,10.246  (+259 την 17/03/2021),6.830  (+160 την 17/03/2021),3.416  (+99 την 17/03/2021)
ΑΡΚΑΔΙΑΣ,10.184  (+197 την 17/03/2021),7.214  (+151 την 17/03/2021),2.970  (+46 την 17/03/2021)
ΡΕΘΥΜΝΟΥ,10.180  (+164 την 17/03/2021),7.342  (+38 την 17/03/2021),2.838  (+126 την 17/03/2021)
ΑΡΤΑΣ,8.857  (+177 την 17/03/2021),5.356  (+115 την 17/03/2021),3.501  (+62 την 17/03/2021)
ΞΑΝΘΗΣ,8.735  (+242 την 17/03/2021),5.919  (+109 την 17/03/2021),2.816  (+133 την 17/03/2021)
ΛΕΣΒΟΥ,8.343  (+188 την 17/03/2021),5.725  (+180 την 17/03/2021),2.618  (+8 την 17/03/2021)
ΡΟΔΟΠΗΣ,7.984  (+227 την 17/03/2021),5.367  (+156 την 17/03/2021),2.617  (+71 την 17/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,7.691  (+143 την 17/03/2021),5.355  (+108 την 17/03/2021),2.336  (+35 την 17/03/2021)
ΚΑΣΤΟΡΙΑΣ,7.403  (+188 την 17/03/2021),5.142  (+133 την 17/03/2021),2.261  (+55 την 17/03/2021)
ΦΛΩΡΙΝΑΣ,6.501  (+100 την 17/03/2021),4.610  (+44 την 17/03/2021),1.891  (+56 την 17/03/2021)
ΧΙΟΥ,6.468  (+121 την 17/03/2021),4.396  (+54 την 17/03/2021),2.072  (+67 την 17/03/2021)
ΠΡΕΒΕΖΑΣ,6.238  (+142 την 17/03/2021),4.875  (+93 την 17/03/2021),1.363  (+49 την 17/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,5.832  (+41 την 17/03/2021),4.104  (+25 την 17/03/2021),1.728  (+16 την 17/03/2021)
ΝΗΣΩΝ,5.659  (+143 την 17/03/2021),3.888  (+132 την 17/03/2021),1.771  (+11 την 17/03/2021)
ΛΕΥΚΑΔΑΣ,4.893  (+61 την 17/03/2021),3.320  (+18 την 17/03/2021),1.573  (+43 την 17/03/2021)
ΚΩ,4.432  (+23 την 17/03/2021),3.231  (+17 την 17/03/2021),1.201  (+6 την 17/03/2021)
ΓΡΕΒΕΝΩΝ,4.340  (+115 την 17/03/2021),2.940  (+69 την 17/03/2021),1.400  (+46 την 17/03/2021)
ΖΑΚΥΝΘΟΥ,3.949  (+106 την 17/03/2021),2.483  (+58 την 17/03/2021),1.466  (+48 την 17/03/2021)
ΦΩΚΙΔΑΣ,3.629  (+52 την 17/03/2021),2.499  (+39 την 17/03/2021),1.130  (+13 την 17/03/2021)
ΣΑΜΟΥ,3.279  (+59 την 17/03/2021),2.352  (+58 την 17/03/2021),927  (+1 την 17/03/2021)
ΣΥΡΟΥ,2.447  (+91 την 17/03/2021),1.556  (+88 την 17/03/2021),891  (+3 την 17/03/2021)
ΕΥΡΥΤΑΝΙΑΣ,2.362  (+38 την 17/03/2021),1.644  (+30 την 17/03/2021),718  (+8 την 17/03/2021)
ΚΑΛΥΜΝΟΥ,2.217  (+22 την 17/03/2021),1.492  (+17 την 17/03/2021),725  (+5 την 17/03/2021)
ΛΗΜΝΟΥ,2.212  (+50 την 17/03/2021),1.425  (+46 την 17/03/2021),787  (+4 την 17/03/2021)
ΙΚΑΡΙΑΣ,2.138  (+6 την 17/03/2021),1.441  (+1 την 17/03/2021),697  (+5 την 17/03/2021)
ΝΑΞΟΥ,1.336,891,445
ΘΗΡΑΣ,1.253  (+12 την 17/03/2021),863,390  (+12 την 17/03/2021)
ΙΘΑΚΗΣ,906  (+60 την 17/03/2021),776  (+60 την 17/03/2021),130
ΘΑΣΟΥ,880  (+6 την 17/03/2021),442,438  (+6 την 17/03/2021)
ΣΠΟΡΑΔΩΝ,774  (+6 την 17/03/2021),488,286  (+6 την 17/03/2021)
ΜΗΛΟΥ,746,460,286
ΚΑΡΠΑΘΟΥ,743,478,265
ΤΗΝΟΥ,629  (+12 την 17/03/2021),322  (+2 την 17/03/2021),307  (+10 την 17/03/2021)
ΠΑΡΟΥ,624,314,310
ΑΝΔΡΟΥ,611  (+14 την 17/03/2021),316  (+7 την 17/03/2021),295  (+7 την 17/03/2021)
ΜΥΚΟΝΟΥ,349,188,161
ΚΕΑΣ-ΚΥΘΝΟΥ,242  (+24 την 17/03/2021),204  (+24 την 17/03/2021),38
