Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,220.229  (+61 την 25/03/2021),144.649  (+60 την 25/03/2021),75.580  (+1 την 25/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,205.143  (+15 την 25/03/2021),133.748  (+10 την 25/03/2021),71.395  (+5 την 25/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,171.233,112.393,58.840
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,62.119,42.466,19.653
ΠΕΙΡΑΙΩΣ,62.005,43.088,18.917
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,39.773  (+1 την 25/03/2021),29.137  (+1 την 25/03/2021),10.636
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,38.397,27.737,10.660
ΗΡΑΚΛΕΙΟΥ,37.218,24.450,12.768
ΑΧΑΪΑΣ,36.429,24.076,12.353
ΛΑΡΙΣΑΣ,30.370,21.104,9.266
ΙΩΑΝΝΙΝΩΝ,27.427,17.505,9.922
ΕΥΒΟΙΑΣ,25.086,17.089,7.997
ΧΑΝΙΩΝ,24.394,16.356,8.038
ΕΒΡΟΥ,21.768,14.596,7.172
ΜΑΓΝΗΣΙΑΣ,20.452,14.245,6.207
ΠΕΛΛΑΣ,19.530  (+41 την 25/03/2021),13.258  (+26 την 25/03/2021),6.272  (+15 την 25/03/2021)
ΚΟΖΑΝΗΣ,18.627,12.958,5.669
ΤΡΙΚΑΛΩΝ,18.555,12.462,6.093
ΜΕΣΣΗΝΙΑΣ,18.479,12.278,6.201
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,18.334,13.397,4.937
ΚΑΡΔΙΤΣΑΣ,17.796  (+1 την 25/03/2021),12.649  (+1 την 25/03/2021),5.147
ΗΜΑΘΙΑΣ,17.331,11.539,5.792
ΣΕΡΡΩΝ,17.193  (+1 την 25/03/2021),12.398  (+1 την 25/03/2021),4.795
ΦΘΙΩΤΙΔΑΣ,16.022,10.919,5.103
ΚΑΒΑΛΑΣ,15.807,10.340,5.467
ΗΛΕΙΑΣ,15.620,10.788,4.832
ΒΟΙΩΤΙΑΣ,15.257,11.469,3.788
ΛΑΣΙΘΙΟΥ,13.959,8.847,5.112
ΠΙΕΡΙΑΣ,13.901,9.137,4.764
ΚΟΡΙΝΘΙΑΣ,13.890,10.242,3.648
ΚΕΡΚΥΡΑΣ,12.908,8.915,3.993
ΧΑΛΚΙΔΙΚΗΣ,12.858,9.189,3.669
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,12.568,8.816,3.752
ΔΡΑΜΑΣ,12.173,8.019,4.154
ΚΙΛΚΙΣ,12.016,7.969,4.047
ΡΟΔΟΥ,11.862  (+15 την 25/03/2021),7.875  (+15 την 25/03/2021),3.987
ΑΡΓΟΛΙΔΑΣ,11.785,8.206,3.579
ΛΑΚΩΝΙΑΣ,11.763,8.061,3.702
ΑΡΚΑΔΙΑΣ,11.519,8.167,3.352
ΡΕΘΥΜΝΟΥ,11.150,7.596,3.554
ΞΑΝΘΗΣ,10.203,6.779,3.424
ΑΡΤΑΣ,9.985,6.171,3.814
ΛΕΣΒΟΥ,9.523,6.504,3.019
ΡΟΔΟΠΗΣ,9.443,6.369,3.074
ΘΕΣΠΡΩΤΙΑΣ,8.785,6.110,2.675
ΚΑΣΤΟΡΙΑΣ,8.654,6.045,2.609
ΧΙΟΥ,7.305  (+11 την 25/03/2021),4.937  (+2 την 25/03/2021),2.368  (+9 την 25/03/2021)
ΠΡΕΒΕΖΑΣ,7.228,5.712,1.516
ΦΛΩΡΙΝΑΣ,7.145,4.868,2.277
ΝΗΣΩΝ,6.880,4.781,2.099
ΚΕΦΑΛΛΗΝΙΑΣ,6.208,4.157,2.051
ΛΕΥΚΑΔΑΣ,5.396,3.541,1.855
ΓΡΕΒΕΝΩΝ,5.025,3.420,1.605
ΚΩ,4.883  (+1 την 25/03/2021),3.363,1.520  (+1 την 25/03/2021)
ΖΑΚΥΝΘΟΥ,4.593,2.888,1.705
ΦΩΚΙΔΑΣ,3.957,2.694,1.263
ΣΑΜΟΥ,3.633,2.587,1.046
ΣΥΡΟΥ,3.012,2.036,976
ΚΑΛΥΜΝΟΥ,2.669,1.566,1.103
ΛΗΜΝΟΥ,2.558,1.650,908
ΕΥΡΥΤΑΝΙΑΣ,2.541,1.712,829
ΙΚΑΡΙΑΣ,2.390,1.465,925
ΜΗΛΟΥ,1.687,1.393,294
ΘΗΡΑΣ,1.628,1.139,489
ΝΑΞΟΥ,1.450,892,558
ΙΘΑΚΗΣ,1.176,812,364
ΣΠΟΡΑΔΩΝ,1.062,713,349
ΘΑΣΟΥ,1.000,548,452
ΚΑΡΠΑΘΟΥ,922,589,333
ΤΗΝΟΥ,737,422,315
ΠΑΡΟΥ,732,421,311
ΑΝΔΡΟΥ,714,418,296
ΚΕΑΣ-ΚΥΘΝΟΥ,583,545,38
ΜΥΚΟΝΟΥ,451,284,167
