Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,188.257  (+990 την 15/03/2021),121.009  (+75 την 15/03/2021),67.248  (+915 την 15/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,170.572  (+291 την 15/03/2021),122.178  (+13 την 15/03/2021),48.394  (+278 την 15/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,142.223  (+1 την 15/03/2021),97.503  (+1 την 15/03/2021),44.720
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,51.236  (+42 την 15/03/2021),33.380,17.856  (+42 την 15/03/2021)
ΠΕΙΡΑΙΩΣ,50.816  (+138 την 15/03/2021),35.037  (+9 την 15/03/2021),15.779  (+129 την 15/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,33.079  (+36 την 15/03/2021),23.145  (+5 την 15/03/2021),9.934  (+31 την 15/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,31.142,22.191,8.951
ΗΡΑΚΛΕΙΟΥ,30.823,20.709,10.114
ΑΧΑΪΑΣ,30.140,19.933,10.207
ΛΑΡΙΣΑΣ,25.687,17.213,8.474
ΙΩΑΝΝΙΝΩΝ,23.359,14.926,8.433
ΧΑΝΙΩΝ,21.270,14.359,6.911
ΕΥΒΟΙΑΣ,20.892,14.686,6.206
ΕΒΡΟΥ,18.227,12.505,5.722
ΠΕΛΛΑΣ,16.737  (+4 την 15/03/2021),11.135  (+4 την 15/03/2021),5.602
ΜΑΓΝΗΣΙΑΣ,16.481,11.565,4.916
ΜΕΣΣΗΝΙΑΣ,15.761  (+6 την 15/03/2021),10.381  (+3 την 15/03/2021),5.380  (+3 την 15/03/2021)
ΤΡΙΚΑΛΩΝ,15.489,10.266,5.223
ΚΟΖΑΝΗΣ,15.365,10.466,4.899
ΚΑΡΔΙΤΣΑΣ,15.305,10.907,4.398
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,15.264,10.889,4.375
ΣΕΡΡΩΝ,14.338,10.513,3.825
ΗΜΑΘΙΑΣ,14.335,9.435,4.900
ΒΟΙΩΤΙΑΣ,12.935,10.017,2.918
ΦΘΙΩΤΙΔΑΣ,12.933,8.959,3.974
ΚΑΒΑΛΑΣ,12.874,8.282,4.592
ΗΛΕΙΑΣ,12.805,8.971,3.834
ΛΑΣΙΘΙΟΥ,12.166,8.019,4.147
ΚΟΡΙΝΘΙΑΣ,11.644,8.331,3.313
ΠΙΕΡΙΑΣ,11.270,7.070,4.200
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,11.092,8.072,3.020
ΧΑΛΚΙΔΙΚΗΣ,10.812,8.224,2.588
ΚΕΡΚΥΡΑΣ,10.566  (+24 την 15/03/2021),7.180  (+24 την 15/03/2021),3.386
ΛΑΚΩΝΙΑΣ,10.266,7.043,3.223
ΚΙΛΚΙΣ,10.255,7.122,3.133
ΔΡΑΜΑΣ,10.226,6.822,3.404
ΑΡΓΟΛΙΔΑΣ,9.995,6.945,3.050
ΑΡΚΑΔΙΑΣ,9.798,6.959,2.839
ΡΕΘΥΜΝΟΥ,9.789,7.216,2.573
ΡΟΔΟΥ,9.679  (+182 την 15/03/2021),6.553  (+44 την 15/03/2021),3.126  (+138 την 15/03/2021)
ΑΡΤΑΣ,8.486,5.141,3.345
ΞΑΝΘΗΣ,8.250,5.722,2.528
ΛΕΣΒΟΥ,7.965,5.366,2.599
ΡΟΔΟΠΗΣ,7.512,5.057,2.455
ΘΕΣΠΡΩΤΙΑΣ,7.367,5.164,2.203
ΚΑΣΤΟΡΙΑΣ,7.013,4.880,2.133
ΦΛΩΡΙΝΑΣ,6.286,4.508,1.778
ΧΙΟΥ,6.223,4.287,1.936
ΠΡΕΒΕΖΑΣ,5.945,4.681,1.264
ΚΕΦΑΛΛΗΝΙΑΣ,5.689,4.042,1.647
ΝΗΣΩΝ,5.353  (+24 την 15/03/2021),3.613  (+24 την 15/03/2021),1.740
ΛΕΥΚΑΔΑΣ,4.752  (+12 την 15/03/2021),3.277  (+9 την 15/03/2021),1.475  (+3 την 15/03/2021)
ΚΩ,4.395  (+197 την 15/03/2021),3.201  (+13 την 15/03/2021),1.194  (+184 την 15/03/2021)
ΓΡΕΒΕΝΩΝ,4.108,2.806,1.302
ΖΑΚΥΝΘΟΥ,3.745,2.391,1.354
ΦΩΚΙΔΑΣ,3.519,2.428,1.091
ΣΑΜΟΥ,3.144,2.221,923
ΕΥΡΥΤΑΝΙΑΣ,2.269,1.590,679
ΣΥΡΟΥ,2.269,1.385,884
ΚΑΛΥΜΝΟΥ,2.175,1.455,720
ΙΚΑΡΙΑΣ,2.115,1.433,682
ΛΗΜΝΟΥ,2.111,1.328,783
ΝΑΞΟΥ,1.324,880,444
ΘΗΡΑΣ,1.241,863,378
ΘΑΣΟΥ,874,442,432
ΙΘΑΚΗΣ,786,664,122
ΣΠΟΡΑΔΩΝ,761,485,276
ΜΗΛΟΥ,746,460,286
ΚΑΡΠΑΘΟΥ,743,478,265
ΠΑΡΟΥ,618,310,308
ΤΗΝΟΥ,617,320,297
ΑΝΔΡΟΥ,596,308,288
ΜΥΚΟΝΟΥ,337,183,154
ΚΕΑΣ-ΚΥΘΝΟΥ,200  (+18 την 15/03/2021),162  (+18 την 15/03/2021),38
