Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΠΡΕΒΕΖΑΣ,5.945  (+182 την 13/03/2021),4.681  (+134 την 13/03/2021),1.264  (+48 την 13/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,5.689  (+65 την 13/03/2021),4.042  (+62 την 13/03/2021),1.647  (+3 την 13/03/2021)
ΝΗΣΩΝ,5.329  (+173 την 13/03/2021),3.589  (+163 την 13/03/2021),1.740  (+10 την 13/03/2021)
ΛΕΥΚΑΔΑΣ,4.740  (+74 την 13/03/2021),3.268  (+65 την 13/03/2021),1.472  (+9 την 13/03/2021)
ΚΩ,4.198  (+144 την 13/03/2021),3.188  (+73 την 13/03/2021),1.010  (+71 την 13/03/2021)
ΓΡΕΒΕΝΩΝ,4.108  (+100 την 13/03/2021),2.806  (+52 την 13/03/2021),1.302  (+48 την 13/03/2021)
ΖΑΚΥΝΘΟΥ,3.745  (+57 την 13/03/2021),2.391  (+46 την 13/03/2021),1.354  (+11 την 13/03/2021)
ΦΩΚΙΔΑΣ,3.519  (+59 την 13/03/2021),2.428  (+13 την 13/03/2021),1.091  (+46 την 13/03/2021)
ΣΑΜΟΥ,3.144  (+71 την 13/03/2021),2.221  (+64 την 13/03/2021),923  (+7 την 13/03/2021)
ΕΥΡΥΤΑΝΙΑΣ,2.269  (+53 την 13/03/2021),1.590  (+52 την 13/03/2021),679  (+1 την 13/03/2021)
ΣΥΡΟΥ,2.269  (+48 την 13/03/2021),1.385  (+42 την 13/03/2021),884  (+6 την 13/03/2021)
ΚΑΛΥΜΝΟΥ,2.175  (+10 την 13/03/2021),1.455  (+4 την 13/03/2021),720  (+6 την 13/03/2021)
ΙΚΑΡΙΑΣ,2.115  (+9 την 13/03/2021),1.433  (+9 την 13/03/2021),682
ΛΗΜΝΟΥ,2.111  (+54 την 13/03/2021),1.328  (+48 την 13/03/2021),783  (+6 την 13/03/2021)
ΝΑΞΟΥ,1.324  (+24 την 13/03/2021),880  (+23 την 13/03/2021),444  (+1 την 13/03/2021)
ΘΗΡΑΣ,1.241  (+30 την 13/03/2021),863  (+30 την 13/03/2021),378
ΘΑΣΟΥ,874,442,432
ΙΘΑΚΗΣ,786  (+60 την 13/03/2021),664  (+18 την 13/03/2021),122  (+42 την 13/03/2021)
ΣΠΟΡΑΔΩΝ,761  (+29 την 13/03/2021),485  (+6 την 13/03/2021),276  (+23 την 13/03/2021)
ΜΗΛΟΥ,746,460,286
ΚΑΡΠΑΘΟΥ,743  (+4 την 13/03/2021),478  (+1 την 13/03/2021),265  (+3 την 13/03/2021)
ΠΑΡΟΥ,618,310,308
ΤΗΝΟΥ,617  (+6 την 13/03/2021),320  (+1 την 13/03/2021),297  (+5 την 13/03/2021)
ΑΝΔΡΟΥ,596  (+11 την 13/03/2021),308  (+2 την 13/03/2021),288  (+9 την 13/03/2021)
ΜΥΚΟΝΟΥ,337,183,154
ΚΕΑΣ-ΚΥΘΝΟΥ,182  (+24 την 13/03/2021),144  (+24 την 13/03/2021),38
